budget,gross
150000000,375658750
250000000,1402809540
55000000,74679822
190000000,1515341399
44000000,156480177
130000000,519311965
40000000,569651467
30000000,84872444
4000000,40423945
28000000,133440870
150000000,1670516444
135000000,532950503
108000000,630162448
13000000,35401758
175000000,858848019
20000000,98690254
28000000,27262374
75000000,107045109
155000000,440603537
95000000,542358331
245000000,2069521700
245000000,880681519
30000000,42972994
49000000,102811889
2500000,5567103
100000000,93920758
3500000,615816
35000000,194564672
160000000,658344137
55000000,203427584
70000000,19652057
65000000,235666219
120000000,167882881
150000000,682716636
5000000,98450062
31000000,107228221
35000000,173567581
25000000,65663276
53000000,99775678
50100000,158762963
135000000,386041607
176000000,183887723
13000000,1767963
74000000,1159444662
29000000,287144079
110000000,473990832
35000000,140795793
190000000,209035668
40000000,165478348
15000000,64191523
110000000,297002527
28000000,201634991
11800000,40272135
16200000,54418872
4000000,52425855
30000000,91970827
61000000,312296056
90000000,146936910
5000000,3769214
20000000,36606743
200000000,332207671
5000000,58980521
105000000,133718711
40000000,111711453
35000000,82347656
30000000,49263404
30000000,34441873
15000000,16137046
2000000,16810562
60000000,101134059
25000000,29674699
11000000,62402155
26000000,31807156
68000000,215863606
150000000,128388320
88000000,244874809
10000000,4366460
15000000,16322067
50000000,242786137
50000000,71561644
8000000,607595
14800000,117813057
8500000,43709744
15000000,11430025
80000000,474800000
34000000,62944815
65000000,34227298
10000000,112983889
58000000,158261424
37000000,26250020
18026148,24548038
23000000,79799880
30000000,105011053
19500000,34854990
11000000,27391084
30000000,6738764
12000000,85512300
6000000,41387687
74000000,325186032
50000000,12951093
6000000,90777
8000000,9074749
35000000,48623572
2000000,1775133
35000000,61181942
100000,828874
8000000,37461274
10000000,53329150
8000000,5659286
6000000,422746
11000000,61619773
23000000,46152800
13000000,35259653
10000000,85978292
35000000,95437994
3200000,5425148
2000000,11122090
600000,7205073
10000000,3334927
60000000,47275717
12000000,33213241
10000000,12252684
7500000,381839
16000000,2084628
7000000,17986781
35000000,51380201
15000000,61548707
40000000,24177137
25000000,52395996
5000000,4842699
36000000,157029618
17000000,45710059
99000000,246233113
15000000,3394174
25000000,906995
90000000,234798636
3300000,38356892
17000000,42426912
26000000,27972023
81200000,97571250
11000000,1160724
100000,42964410
2000000,1295574
800000,143658
5000000,2333684
2000000,2801508
28000000,8527658
35000000,14431253
14000000,13081651
1000000,14659448
18000000,41325328
10000000,10835752
11000000,29355203
30000000,107588225
3000000,73256266
65000000,122606884
25000000,48782670
175000000,746846894
90000000,162360636
250000000,1153337496
160000000,439048914
58000000,782836791
165000000,677796076
9000000,278454417
20000000,208314186
9900000,157830487
150000000,644411850
47000000,203388186
178000000,543934105
5000000,23123592
185000000,343471816
75000000,634208384
30000000,448906865
40000000,321788219
110000000,303144152
150000000,1024121104
115000000,164989338
40000000,180563636
50000000,69411370
22500000,30311857
200000000,1056057720
250000000,873637528
145000000,521170825
50000000,62788218
165000000,389681935
110000000,296482446
180000000,814044001
40000000,312242626
31500000,38803993
35000000,81093313
17000000,119100758
25000000,236225193
19000000,140705322
45000000,173185859
12000000,37879877
10000000,118587880
144000000,229147509
44000000,155160045
7000000,3377430
4000000,65336603
120000000,415484914
9000000,78988148
50000000,216972543
40000000,86234523
180000000,356700357
46000000,23834809
140000000,150680864
25000000,24121245
75000000,220021259
90000000,334897606
13000000,9101546
175000000,966554929
15000000,110216998
30000000,19263938
200000000,1028570942
12000000,140853810
4900000,148868835
900000,9097072
85000000,119520023
60000000,162146076
35000000,211952420
38000000,112343513
40000000,37357216
6000000,201890
20000000,23177948
110000000,121790373
60000000,240797623
8000000,8809407
28000000,16457494
28000000,21011110
9000000,19370020
40000000,26620002
60000000,205754447
25000000,94073028
22000000,63945241
38000000,109906372
125000000,346864886
110000000,179246868
5000000,9588282
3000000,4935501
150000000,334933831
33000000,77068246
20000000,183936074
36000000,88528280
10000000,73929392
24000000,64414761
170000000,299820798
35000000,27979040
105000000,408754975
45000000,52185751
40000000,29918745
75000000,875458631
20000000,9680029
7000000,7214806
125000000,240697856
135000000,245623848
10000000,4644472
20000000,14857808
80000000,52099090
9000000,2000620
5000000,11084630
140000000,195243411
50000000,56722693
18000000,6740647
73000000,352333929
108000000,22678555
19000000,85251425
